T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm
20;15.3;15.3;200000;0.3;7930;14.28;427;180;225;460;460;120
50;15.5;15.7;197375;0.3;7919;14.73;485;167;208.75;441;441;120
100;15.9;16.5;193000;0.3;7899;15.48;501;145;181.25;410;410;120
150;16.2;17.1;189000;0.3;7879;16.23;512;130;162.5;380;380;117
200;16.6;17.8;185000;0.3;7858;16.98;522;118;147.5;360;360;106
250;16.9;18.3;180000;0.3;7837;17.74;530;108;135;350;350;97
300;17.2;18.9;176000;0.3;7815;18.49;538;100;125;340;340;90
350;17.5;19.3;172000;0.3;7793;19.24;546;94;117.5;340;340;85
400;17.8;19.8;168000;0.3;7770;19.99;556;89;111.25;337;337;80
450;18;20.1;164000;0.3;7747;20.74;567;85;106.25;331;331;76.5
500;18.3;20.5;159000;0.3;7724;21.49;578;81;101.25;;;73
550;18.5;20.7;155000;0.3;7701;22.24;590;80;100;;;72
600;18.7;21;151000;0.3;7677;22.99;601;;;;;
650;18.9;21.1;147000;0.3;7654;23.74;610;;;;;
700;19;21.3;142000;0.3;7630;24.49;615;;;;;
750;19.2;21.3;;0.3;7606;25.25;615;;;;;
800;19.3;21.4;;0.3;7582;26;607;;;;;
850;19.5;21.3;;0.3;;;;;;;;
900;19.6;21.3;;0.3;;;;;;;;
950;19.7;;;0.3;;;;;;;;
1000;19.7;;;0.3;;;;;;;;
